u,v,key,access,bicycle,busway,cycleway,foot,highway,lanes,lit,maxspeed,motor_vehicle,name,oneway,ref,service,sidewalk,smoothness,surface,tunnel,width,osmid,timestamp,version,tags,osm_type,geometry,length
5370319353,5370319352,0,,,,,,service,,,,,,,,parking_aisle,,,,,,556752977,1554232375,2,"{""visible"":false}",way,"LINESTRING (23.72578620910645 37.98782348632813, 23.7258358001709 37.98778533935547)",6.073
95663502,95663504,0,,,,,,tertiary,1,,,,Μάγερ,yes,,,,,asphalt,,,261671452,1577395258,7,"{""visible"":false,""int_name"":""Mager""}",way,"LINESTRING (23.72506332397461 37.98665618896484, 23.72480010986328 37.98618316650391, 23.72477340698242 37.98613357543945)",63.424
95663502,95663418,0,,,,,,residential,1,,,,Φαβιέρου,yes,,,,,asphalt,,,"[741033482, 741033483]",1655928670,"[2, 3]","{""visible"":false,""int_name"":""Favierou""}",way,"LINESTRING (23.72506332397461 37.98665618896484, 23.72537231445313 37.98661041259766, 23.72561264038086 37.98657608032227, 23.7257022857666 37.98656845092773)",56.861000000000004
95663426,688786344,0,,,,,,primary,1,yes,,,Καποδιστρίου,yes,,,,,asphalt,,4,222897513,1717046245,18,"{""visible"":false,""int_name"":""Kapodistriou""}",way,"LINESTRING (23.72745704650879 37.98687362670898, 23.7270679473877 37.98694229125977, 23.72705078125 37.98694610595703, 23.72704124450684 37.9869499206543, 23.72702980041504 37.98695373535156, 23.72701835632324 37.98696517944336, 23.7269458770752 37.98703384399414)",50.085
95663426,300398465,0,,,,,,tertiary,1,,,,Αριστοτέλους,yes,,,,,asphalt,,,222941080,1718173113,11,"{""visible"":false,""int_name"":""Aristotelous"",""name:etymology:wikidata"":""Q868"",""source"":""Yahoo""}",way,"LINESTRING (23.72745704650879 37.98687362670898, 23.72736167907715 37.98648452758789, 23.72735214233398 37.9864501953125, 23.72732353210449 37.986328125)",61.777
95663543,95663529,0,,,,,,tertiary,2,,,,Αριστοτέλους,yes,,,,,asphalt,,,222941078,1718173113,12,"{""visible"":false,""int_name"":""Aristotelous"",""name:etymology:wikidata"":""Q868"",""source"":""Yahoo""}",way,"LINESTRING (23.72830963134766 37.9903450012207, 23.7281494140625 37.98968887329102)",74.297
95663543,358465904,0,,,,,,secondary,1,,,,Ηπείρου,yes,,,,,asphalt,,,249412138,1675332270,15,"{""visible"":false,""int_name"":""Ipirou""}",way,"LINESTRING (23.72830963134766 37.9903450012207, 23.72874450683594 37.99027633666992)",38.867
95663398,95663463,0,,,,,,tertiary,2,,,,Αριστοτέλους,yes,,,,,asphalt,,,222941078,1718173113,12,"{""visible"":false,""int_name"":""Aristotelous"",""name:etymology:wikidata"":""Q868"",""source"":""Yahoo""}",way,"LINESTRING (23.72798538208008 37.9890251159668, 23.72774696350098 37.98805999755859, 23.72773742675781 37.98802185058594, 23.72771453857422 37.9879264831543)",124.447
6693545575,411703355,0,,,,,,service,,,,,Τοσίτσα,,,,,,paving_stones,,,224838565,1653411458,5,"{""visible"":false}",way,"LINESTRING (23.73065567016602 37.98856353759766, 23.73058128356934 37.98857116699219)",6.574
411703355,6693545575,0,,,,,,service,,,,,Τοσίτσα,,,,,,paving_stones,,,224838565,1653411458,5,"{""visible"":false}",way,"LINESTRING (23.73065567016602 37.98856353759766, 23.73058128356934 37.98857116699219)",6.574
